盤	pán	tray, plate, dish; examine	盤子 鍵盤 方向盤	pánzi jiànpán fāngxiàngpán
偶	ǒu	accidentally, coincidently; an idol	偶然 木偶 偶而	ǒurán mùǒu ǒuér
巷	xiàng	alley, lane	巷子	xiàngzi
港	gǎng	port, harbor; small stream; bay	港幣 港口	Gǎngbì gǎngkǒu
宮	gōng	palace, temple, dwelling, enclose	宮殿 迷宮	gōngdiàn mígōng
帥	shuài	commander, commander-in-chief		
宏	hóng	wide, spacious, great, vast	宏偉	hóngwěi
雅	yǎ	elegant, graceful, refined	典雅	diǎnyǎ
貨	huò	goods, commodities, products	百貨公司 貨物 存貨	bǎihuògōngsī huòwù cúnhuò
醒	xǐng	wake up; sober up; startle	醒來 清醒 提醒	xǐnglái qīngxǐng tíxǐng
虛	xū	false, worthless; empty, hollow	謙虛 虛擬 虛心	qiānxū xūnǐ xūxīn
遺	yí	lose; articles lost; omit	遺產 遺傳 遺憾	yíchǎn yíchuán yíhàn
卦	guà	fortune telling; tell fortunes	八卦	bāguà
掛	guà	hang, suspend; suspense	掛號 掛號信	guàhào guàhàoxìn
透	tòu	penetrate, pass through	透過 透明	tòuguò tòumíng
爆	bào	crackle, pop, burst, explode	爆炸 爆發	bàozhà bàofā
烈	liè	fiery, violent, vehement, ardent	激烈 劇烈 強烈	jīliè jùliè qiángliè
滅	miè	extinguish; wipe out, exterminate	滅亡 撲滅 消滅	mièwáng pūmiè xiāomiè
材	cái	material, stuff; timber; talent	材料 教材 題材	cáiliào jiàocái tícái
拍	pāi	clap, tap, beat; beat or rhythm	拍馬屁 拍攝 拍照	pāimǎpì pāishè pāizhào
休	xiū	rest, stop; retire; do not!	休息 退休 休假	xiūxi tuìxiū xiūjià
誌	zhì	write down; record; magazine	雜誌 標誌	zázhì biāozhì
銀	yín	silver; cash, money, wealth	銀行 銀幕 銀色	yínháng yínmù yínsè
互	hù	mutually, reciprocally	互相 互助 相互	hùxiāng Hùzhù xiānghù
飯	fàn	cooked rice; food; meal	飯館 飯店 米飯	fànguǎn fàndiàn mǐfàn
掌	zhǎng	palm of hand, sole of foot, paw	掌握 鼓掌 掌聲	zhǎngwò gǔzhǎng zhǎngshēng
豪	háo	brave, heroic, chivalrous	自豪	zìháo
替	tì	change, replace, substitute for	代替 替代	dàitì tìdài
挑	tiāo	a load carried on the shoulders; to carry	挑戰 挑選 挑剔	tiǎozhàn tiāoxuǎn tiāoti
頂	dǐng	top, peak; carry on head; very		
熊	xióng	a bear; brilliant; bright; surname	熊貓	xióngmāo
累	lèi	tired; implicate, involve; bother	勞累 累積 拖累	láolèi lěijī tuōlěi
址	zhǐ	site, location, land for house	地址 住址 遺址	dìzhǐ zhùzhǐ yízhǐ
健	jiàn	strong, robust, healthy; strength	健康 健全 健身	jiànkāng jiànquán jiànshēn
夾	jiā	be wedged or inserted between	夾雜	jiāzá
俠	xiá	chivalrous person; knight-errant		
雞	jī	chickens; domestic fowl		
困	kùn	to surround, beseige; to be surrounded; difficult	困難 困境 困擾	kùnnan kùnjìng kùnrǎo
諾	nuò	promise; assent, approve	承諾 諾言	chéngnuò nuòyán
輔	fǔ	cheek bone; protective; assist	輔導	fǔdǎo
伴	bàn	companion, comrade, partner; accompany	伙伴 陪伴 同伴	huǒbàn péibàn tóngbàn
玉	yù	jade, precious stone, gem	玉米 玉器	yùmǐ yùqì
洗	xǐ	wash, rinse; clean, purify	洗澡 洗手間 洗衣機	xǐzǎo xǐshǒujiān xǐyījī
敏	mǐn	fast, quick, clever, smart	過敏 敏感 敏捷	guòmǐn mǐngǎn mǐnjié
臥	wò	lie down; crouch	臥室 臥房	wòshì wòfáng
臨	lín	draw near, approach; descend	光臨 來臨 臨時	guānglín láilín línshí
街	jiē	street, road, thoroughfare	逛街 上街 大街	guàngjiē shàngjiē dàjiē
降	jiàng	descend, fall, drop; lower, down	降低 降價 投降	jiàngdī jiàngjià tóuxiáng
唸	niàn	recite, read, chant		
憐	lián	pity, sympathize	可憐	kělián
穌	sū	revive, to rise again; collect		
蘇	sū	revive, resurrect; a species of thyme		
減	jiǎn	decrease, subtract, diminish	減輕 減少 削減	jiǎnqīng jiǎnshǎo xuējiǎn
操	cāo	conduct, run, control, manage	操場 操心 操作	cāochǎng cāoxīn cāozuò
瘋	fēng	crazy, insane, mentally ill	瘋狂 瘋子 發瘋	fēngkuáng fēngzi fāfēng
宇	yǔ	house; building, structure; eaves	宇宙	yǔzhòu
聚	jù	assemble, meet together, collect	聚集 聚餐 凝聚	jùjí jùcān níngjù
彼	bǐ	that, there, those	彼此	bǐcǐ
採	cǎi	gather, collect; pick, select	採用 採購 採訪	cǎiyòng cǎigòu cǎifǎng
屆	jiè	numerary adjunct for time, term	屆時 歷屆	jièshí lìjiè
輩	bèi	generation, lifetime; class	輩子 晚輩 長輩	bèizi wǎnbèi zhǎngbèi
藥	yào	drugs, pharmaceuticals, medicine	藥房 農藥 藥方	yàofáng nóngyào yàofāng
騙	piàn	swindle, cheat out of, defraud	騙子 欺騙	piànzi qīpiàn
綠	lǜ	green; chlorine	紅綠燈 綠色 綠豆	hónglǜdēng lǜsè lǜdòu
縮	suō	contract, draw in, reduce	縮短 縮水 緊縮	suōduǎn suōshuǐ jǐnsuō
符	fú	i.d. tag, tally, symbol, charm	符合 符號 相符	fúhé fúhào xiāngfú
獲	huò	obtain, get, receive; seize	獲得 破獲	huòdé pòhuò
默	mò	silent; quiet, still; dark	幽默 沉默 默默	yōumò chénmò mòmò
碰	pèng	collide, bump into	碰到 碰上 碰見	pèngdào pèngshàng pèngjiàn
禁	jìn	restrict, prohibit, forbid	禁止 不禁 禁令	jìnzhǐ bùjīn jìnlìng
婆	pó	old woman; grandmother	老婆 外婆 婆婆	lǎopó wàipó pópo
咧	liě	stretch mouth, grimace, grin		
股	gǔ	thighs, haunches, rump; share	屁股 股市	pìgu gǔshì
抽	chōu	draw out, pull out; sprout	抽屜 抽查 抽空	chōuti chōuchá chōukòng
砍	kǎn	hack, chop, cut, fell		
恨	hèn	hatred, dislike; resent, hate	恨不得 仇恨 悔恨	hènbude chóuhèn huǐhèn
肯	kěn	willing; consent to, permit	肯定 中肯	kěndìng zhòngkěn
刊	kān	publication, periodical; publish	報刊 刊物 刊登	bàokān kānwù kāndēng
泡	pào	bubbles, suds; blister; soak	泡沫	pàomò
斬	zhǎn	cut, chop, sever; behead		
漸	jiàn	gradually	漸漸 逐漸	jiànjiàn zhújiàn
鋼	gāng	steel; hard, strong, tough	鋼琴 鋼筆 鋼鐵	gāngqín gāngbǐ gāngtiě
廢	fèi	abrogate, terminate, discard	廢話 廢氣 廢水	fèihuà fèiqì fèishuǐ
淚	lèi	tears; weep, cry	眼淚	yǎnlèi
樞	shū	door hinge; pivot; center of power		
贏	yíng	win; surplus, gain, profit	贏得	yíngdé
歐	ōu	used in transliterating non-Chinese words such as Europe, ohm; surname	歐洲	Oūzhōu
財	cái	wealth, valuables, riches	發財 財產 財富	fācái cáichǎn cáifù
訂	dìng	draw up agreement; arrange	訂婚 訂位 簽訂	dìnghūn dìngwèi qiāndìng
途	tú	way, road, path, journey; course	長途 前途 途徑	chángtú qiántú tújìng
觸	chù	touch; butt, ram, gore	接觸 感觸	jiēchù gǎnchù
賢	xián	virtuous, worthy, good; able	聖賢	shèngxián
傑	jié	hero; outstanding, remarkable		
脫	tuō	take off, peel off, strip	擺脫 脫離 超脫	bǎituō tuōlí chāotuō
箱	xiāng	case, box, chest, trunk	冰箱 箱子 信箱	bīngxiāng xiāngzi xìnxiāng
佈	bù	spread, publicize, announce	佈置 佈告 佈告欄	bùzhì bùgào bùgàolán
仙	xiān	Taoist super-being, transcendent, immortal	神仙 仙丹	shénxiān xiāndān
冰	bīng	ice; ice-cold	冰箱 冰淇淋 冰塊	bīngxiāng bīngqílín bīngkuài
析	xī	split wood; break apart; divide	分析	fēnxī
蒼	cāng	blue; green	蒼白 蒼蠅	cāngbái cāngying
籍	jí	record, register, list; census	國籍 書籍 古籍	guójí shūjí gǔjí
堅	jiān	hard, strong, firm; resolute	堅持 堅強 堅定	jiānchí jiānqiáng jiāndìng
獄	yù	prison, jail; case; lawsuit	監獄 地獄	jiānyù dìyù
哭	kū	weep, cry, wail		
夏	xià	summer; great, grand, big	夏天 夏季	xiàtiān xiàjì
賴	lài	rely, depend on; accuse falsely	信賴 依賴	xìnlài yīlài
懶	lǎn	lazy, languid, listless	懶得 懶惰 懶散	lǎndé lǎnduò lǎnsǎn
吞	tūn	swallow; absorb, annex, engulf	吞吞吐吐	tūntūntǔtǔ
喬	qiáo	tall, lofty; proud, stately		
橋	qiáo	bridge; beam, crosspiece	吊橋	diàoqiáo
穩	wěn	stable, firm, solid, steady	穩定 平穩 穩健	wěndìng píngwěn wěnjiàn
露	lù	dew; bare, open, exposed	露營 露天 暴露	lùyíng lùtiān bàolù
旬	xún	ten-day period; period of time	上旬 下旬 中旬	shàngxún xiàxún zhōngxún
詢	xún	inquire into, ask about; consult	詢問	xúnwèn
森	sēn	forest; luxuriant vegetation	森林	sēnlín
塵	chén	dust, dirt, ashes, cinders	塵土 灰塵	chéntǔ huīchén
慣	guàn	habit, custom; habitually, usually	習慣 慣例	xíguàn guànlì
肘	zhǒu	the elbow; help a person shoulder a load		
吋	cùn	English inch		
壽	shòu	old age, long life; lifespan	壽命 壽星	shòumìng shòuxīng
濤	tāo	large waves		
誼	yì	friendship; appropriate, suitable	友誼	yǒuyì
佔	zhàn	occupy by force, usurp; possess	佔有 獨佔 佔據	zhànyǒu dúzhàn zhànjù
茶	chá	tea	紅茶 奶茶 茶館	hóngchá nǎichá cháguǎn
階	jiē	stairs, steps; rank, degree	階段 階層 階級	jiēduàn jiēcéng jiējí
豐	fēng	abundant, lush, bountiful, plenty	豐富 豐盛 豐收	fēngfù fēngshèng fēngshōu
暑	shǔ	hot	暑假 暑期 中暑	shǔjià shǔqī zhòngshǔ
郵	yóu	postal, mail; post office	電子郵件 郵局 郵票	diànzǐyóujiàn yóujú yóupiào
危	wēi	dangerous, precarious; high	危險 危機 危害	wēixiǎn wēijī wēihài
寒	hán	cold, wintry, chilly	寒假 寒冷	hánjià hánlěng
戒	jiè	warn, caution, admonish	戒指 戒備	jièzhi jièbèi
械	xiè	weapons; implements, instruments	機械	jīxiè
隱	yǐn	hide, conceal; hidden, secret	隱藏 隱士 隱約	yǐncáng yǐnshì yǐnyuē
爸	bà	father, papa	爸爸	bàba
汽	qì	steam, vapor, gas	公共汽車 汽車 汽水	gōnggòngqìchē qìchē qìshuǐ
慘	cǎn	sad, pitiful, wretched; cruel	慘重	cǎnzhòng
旅	lǚ	trip, journey; travel; traveler	旅行 旅館 旅遊	lǚxíng lǚguǎn lǚyóu
村	cūn	village, hamlet; uncouth, vulgar	農村 鄉村	nóngcūn xiāngcūn
辰	chén	early morning; 5th terrestrial branch	星辰	xīngchén
振	zhèn	raise, excite, arouse action	振動	zhèndòng
瓦	wǎ	tile; earthenware pottery; girl	瓦斯	wǎsī
瓶	píng	jug, pitcher, vase, jar, bottle	瓶子 花瓶 熱水瓶	píngzi huāpíng rèshuǐpíng
曹	cáo	ministry officials; surname		
遭	zāo	come across, meet with, encounter	遭到 遭受 遭遇	zāodào zāoshòu zāoyù
折	zhé	break off, snap; bend	挫折 打折 曲折	cuòzhé dǎzhé qūzhé
哲	zhé	wise, sagacious; wise man, sage	哲學	zhéxué
零	líng	zero; fragment, fraction	零錢 零用錢 零件	língqián língyòngqián língjiàn
納	nà	admit, take, receive, accept	採納 歸納 接納	cǎinà guīnà jiēnà
珍	zhēn	precious, valuable, rare	珍貴 珍惜 珍珠	zhēnguì zhēnxī zhēnzhū
席	xí	seat; mat; take seat; banquet	出席 缺席 主席	chūxí quēxí zhǔxí
哩	lī	mile		
奠	diàn	pay respect; settle	奠定	diàndìng
鄭	zhèng	state in today's Henan; surname		
吹	chuī	blow; puff; brag, boast	吹牛 鼓吹	chuīniú gǔchuī
煙	yān	smoke, soot; opium; tobacco, cigarettes	煙火 吸煙	yānhuǒ xīyān
倫	lún	normal human relationships	倫理	lúnlǐ
洪	hóng	vast, immense; flood, deluge	洪水	hóngshuǐ
搖	yáo	wag, swing, wave; shake; scull	搖擺 搖頭 搖晃	yáobǎi yáotóu yáohuàng
娘	niáng	mother; young girl; woman; wife	姑娘 老闆娘 新娘	gūniang lǎobǎnniáng xīnniáng
芳	fāng	fragrant; virtuous; beautiful		
索	suǒ	large rope, cable; rules, laws; to demand, to exact; to search, inquire; isolated	思索 勒索 索賠	sīsuǒ lèsuǒ suǒpéi
峰	fēng	peak, summit; hump of camel	高峰 山峰	gāofēng shānfēng
織	zhī	weave, knit; organize, unite	組織 編織 紡織	zǔzhī biānzhī fǎngzhī
惠	huì	favor, benefit, confer kindness	優惠 互惠	yōuhuì hùhuì
杯	bēi	cup, glass	杯子 乾杯	bēizi gānbēi
浮	fú	to float, drift, waft; to exceed; superfluous	浮動	fúdòng
狼	láng	wolf		
隔	gé	separate, partition	隔壁 隔閡 隔天	gébì géhé gétiān
椰	yē	palm tree, coconut palm		
租	zū	rent, lease; rental; tax	房租 出租 租賃	fángzū chūzū zūlìn
忽	hū	suddenly, abruptly; neglect	忽然 忽略 忽視	hūrán hūlüè hūshì
複	fù	repeat, double, overlap	複習 複雜 複製	fùxí fùzá fùzhì
莊	zhuāng	village, hamlet; villa; surname	莊嚴	zhuāngyán
祟	suì	evil spirit; evil influence		
款	kuǎn	item, article; clause; fund	存款 貸款 匯款	cúnkuǎn dàikuǎn huìkuǎn
菜	cài	vegetables; dish, order; food	菜單 點菜 青菜	càidān diǎncài qīngcài
副	fù	assist; supplement; assistant		
企	qǐ	plan a project; stand on tiptoe	企業 企圖	qǐyè qǐtú
擾	rǎo	disturb, annoy, agitate	打擾 干擾 困擾	dǎrǎo gānrǎo kùnrǎo
揚	yáng	scatter, spread; praise	表揚 發揚 宣揚	biǎoyáng fāyáng xuānyáng
鼠	shǔ	rat, mouse; KangXi radical 208	老鼠	lǎoshǔ
癡	chī	silly, foolish, idiotic		
鼓	gǔ	drum; beat, top, strike	鼓勵 鼓舞 鼓掌	gǔlì gǔwǔ gǔzhǎng
刺	cì	stab; prick, irritate; prod	刺激 諷刺 刺殺	cìjī fěngcì cìshā
頻	pín	frequently, again and again		
喵	miāo	the mew of the cat		
針	zhēn	needle; pin; tack; acupuncture	打針 針對 方針	dǎzhēn zhēnduì fāngzhēn
革	gé	leather, animal hides; rad. 177	革命 改革 變革	gémìng gǎigé biàngé
霸	bà	rule by might rather than right		
暫	zàn	temporary	暫時 短暫	zànshí duǎnzàn
伊	yī	third person pronoun; he, she, this, that	伊斯蘭教	Yīsīlánjiào
冗	rǒng	excessive; superfluous		
沉	chén	sink, submerge; addicted to	沉默 沉思 沉重	chénmò chénsī chénzhòng
嘴	zuǐ	mouth, lips	嘴巴 插嘴 吵嘴	zuǐba chāzuǐ chǎozuǐ
庫	kù	armory, treasury, storehouse	倉庫 庫存 水庫	cāngkù kùcún shuǐkù
悔	huǐ	repent, show remorse, regret	後悔 悔恨	hòuhuǐ huǐhèn
陰	yīn	'female' principle; dark; secret	陰謀 陰影	yīnmóu yīnyǐng
寂	jì	still, silent, quiet, desolate	寂寞	jìmò
倚	yǐ	rely on, depend on; lean heavily		
探	tàn	find, locate; search, grope for	探親 探討 偵探	tànqīn tàntǎo zhēntàn
祖	zǔ	ancestor, forefather; grandfather	祖父 祖母 祖先	zǔfù zǔmǔ zǔxiān
摩	mó	rub, scour, grind; friction	摩托車 按摩 觀摩	mótuōchē ànmó guānmó
距	jù	distance; bird's spur	距離 差距	jùlí chājù
乘	chéng	ride, ascend; avail oneself of; numerary adjunct for vehicles	乘客	chéngkè
剩	shèng	leftovers, residue, remains	剩下	shèngxià
遍	biàn	everywhere, all over, throughout	普遍	pǔbiàn
蟲	chóng	worms; insects	蟲子 害蟲 昆蟲	chóngzi hàichóng kūnchóng
燒	shāo	burn; bake; heat; roast	發燒 燃燒 紅燒	fāshāo ránshāo hóngshāo
隆	lóng	prosperous, plentiful, abundant	興隆	Xīnglóng
弱	ruò	weak; fragile, delicate	薄弱 脆弱 懦弱	bóruò cuìruò nuòruò
肅	sù	pay respects; reverently	嚴肅	yánsù
蕭	xiāo	common artemisia; sighing of wind; mournful; dejected		
握	wò	grasp, hold fast, take by hand	把握 握手 掌握	bǎwò wòshǒu zhǎngwò
寧	níng	repose, serenity, peace; peaceful	寧可 寧願 安寧	nìngkě nìngyuàn Anníng
盟	méng	swear; oath, covenant, alliance	聯盟	liánméng
覆	fù	cover; tip over; return; reply	反覆 答覆 顛覆	fǎnfù dáfù diānfù
憲	xiàn	constitution, statute, law	憲法	xiànfǎ
耐	nài	endure, bear; resist; patient	耐心 忍耐 耐用	nàixīn rěnnài nàiyòng
愁	chóu	anxiety; to worry about, be anxious		
撥	bō	move; dispel; distribute; plectrum, play stringed instrument		
沈	chén	sink, submerge; addicted to; surname		
昇	shēng	rise, ascent; peaceful; peace		
髮	fǎ	hair	頭髮 髮型	tóufa fàxíng
哀	āi	sad, mournful, pitiful; pity	悲哀	bēiāi
龜	guī	turtle or tortoise; cuckold	烏龜	wūguī
眉	méi	eyebrows; upper margin of book	眉毛 眉頭	méimao méitóu
卷	juǎn	scroll; curl; make a comeback	考卷 試卷	kǎojuàn shìjuàn
顏	yán	face, facial appearance	顏色	yánsè
稍	shāo	little, slightly; rather	稍微	shāowēi
殘	cán	injure, spoil; oppress; broken	殘暴 殘酷 殘殺	cánbào cánkù cánshā
搭	dā	join together, attach to; add to	搭配	dāpèi
傻	shǎ	foolish, silly, stupid; an imbecile	傻瓜	shǎguā
映	yìng	project; reflect light	反映 放映	fǎnyìng fàngyìng
託	tuō	entrust, rely on; commission	拜託 委託	bàituō wěituō
鴻	hóng	species of wild swan; vast		
妙	miào	mysterious, subtle; exquisite	美妙 巧妙 奧妙	měimiào qiǎomiào àomiào
辯	biàn	dispute, argue, debate, discuss	辯護 辯論 爭辯	biànhù biànlùn zhēngbiàn
媒	méi	go-between, matchmaker; medium	多媒體 媒體	duōméitǐ méitǐ
吵	chǎo	argue, dispute; disturb, annoy	吵架 吵鬧 吵嘴	chǎojià chǎonào chǎozuǐ
擬	nǐ	draft; intend, plan, propose	比擬 擬定 虛擬	bǐnǐ nǐdìng xūnǐ
違	wéi	disobey, violate, defy; be apart from	違反 違背 違約	wéifǎn wéibèi wéiyuē
桌	zhuō	table, desk, stand	桌子 書桌 餐桌	zhuōzi shūzhuō cānzhuō
拼	pīn	join together, link, incorporate	拼命	pīnmìng
銷	xiāo	melt, fuse; market, sell; to pass time, finish, cancel	推銷 銷路 銷售	tuīxiāo xiāolù xiāoshòu
藉	jí	mat, pad; rely on; pretext	藉口	jièkǒu
胖	pàng	fat, obese; fatty	肥胖	féipàng
域	yù	district, region, boundary; land	領域 區域 地域	lǐngyù qūyù dìyù
船	chuán	ship, boat, vessel	輪船 船隻	lúnchuán chuánzhī
勞	láo	labor, toil, do manual work	勞動 勞工 勞力	láodòng láogōng láolì
洞	dòng	cave, grotto; ravine; hole	洞穴	dòngxué
寢	qǐn	sleep, rest; bed chamber	寢室	qǐnshì
徐	xú	slowly, quietly, calmly; composed, dignified		
奈	nài	but, how; bear, stand, endure	無可奈何	wúkěnàihé
額	é	forehead; tablet, plaque; fixed	金額 匾額 差額	jīné biǎné chāé
倍	bèi	times, fold, multiple times	倍數	bèishù
農	nóng	agriculture, farming; farmer	農業 農場 農產品	nóngyè nóngchǎng nóngchǎnpǐn
擺	bǎi	put, place; display; swing, sway	擺脫 搖擺	bǎituō yáobǎi
橫	héng	across, horizontal, lateral	蠻橫	mánhèng
賀	hè	congratulate; send present	祝賀	zhùhè
拖	tuō	drag, tow, haul; delay, prolong	拖鞋 拖累 拖延	tuōxié tuōlěi tuōyán
怨	yuàn	hatred, enmity, resentment	抱怨 恩怨	bàoyuàn ēnyuàn
逃	táo	escape, flee; abscond, dodge	逃避 逃走 逃生	táobì táozǒu táoshēng
障	zhàng	separate; shield; barricade	障礙 保障	zhàngài bǎozhàng
賺	zhuàn	make money, earn; gain, profit		
滾	gǔn	turn, roll, rotate; boil		
譜	pǔ	register, list, table; musical score	臉譜	Liǎnpǔ
瞭	liǎo	bright, clear; clear-sighted	瞭解	liǎojiě
戴	dài	wear on top; support	愛戴	àidài
搬	bān	transfer, move, remove, shift	搬家 搬運	bānjiā bānyùn
鬆	sōng	lax, loose; loosen, relax	輕鬆 放鬆	qīngsōng fàngsōng
迫	pò	coerce, force, compel; urgent	迫切 強迫 壓迫	pòqiè qiǎngpò yāpò
赤	chì	red; communist, 'red'; bare		
赫	hè	bright, radiant, glowing		
嚇	xià	scare, frighten; intimidate	嚇一跳 恐嚇	xiàyītiào kǒnghè
奶	nǎi	milk; woman's breasts; nurse	牛奶 奶奶 奶茶	niúnǎi nǎinai nǎichá
棋	qí	chess; any game similar to chess	下棋	xiàqí
鬧	nào	quarrel; dispute hotly	熱鬧 鬧鐘 吵鬧	rènao nàozhōng chǎonào
盛	shèng	abundant, flourishing; contain; fill	豐盛 盛情 盛行	fēngshèng shèngqíng shèngxíng
摸	mō	gently touch with hand; caress		
伙	huǒ	companion, colleague; utensils	伙伴 傢伙 小伙	huǒbàn jiāhuo xiǎohuǒ
朵	duǒ	cluster of flowers; earlobe	耳朵 花朵	ěrduo huāduǒ
染	rǎn	dye; be contagious; infect	傳染 感染 污染	chuánrǎn gǎnrǎn wūrǎn
佩	pèi	belt ornament, pendant; wear at waist, tie to the belt; respect	佩服 敬佩 欽佩	pèifú jìngpèi qīnpèi
床	chuáng	bed, couch; framework, chassis	起床 床單 病床	qǐchuáng chuángdān bìngchuáng
酷	kù	strong, stimulating; very	殘酷	cánkù
孫	sūn	grandchild, descendent; surname	孫女 孫子 子孫	sūnnǚ Sūnzǐ zǐsūn
牠	tā	it; polled cattle		
屁	pì	break wind; fart; buttocks	屁股 拍馬屁	pìgu pāimǎpì
卒	zú	soldier; servant; at last, finally		
醉	zuì	intoxicated, drunk; addicted to	麻醉	mázuì
震	zhèn	shake, quake, tremor; excite	地震 震動 震驚	dìzhèn zhèndòng zhènjīng
鎖	suǒ	lock, padlock; shackles, chains	封鎖 枷鎖	fēngsuǒ jiāsuǒ
豈	qǐ	how? what?		
凱	kǎi	triumphant; triumph, victory		
損	sǔn	diminish; impair; injure	損失 毀損 損害	sǔnshī huǐsǔn sǔnhài
潮	cháo	tide; moist, wet, damp; flow	潮流 潮濕 低潮	cháoliú cháoshī dīcháo
役	yì	service; a servant, laborer; to serve		
伍	wǔ	five, company of five; troops	落伍 隊伍	luòwǔ duìwǔ
桃	táo	peach; marriage; surname	桃子 櫻桃	táozi yīngtáo
聰	cōng	intelligent, clever, bright	聰明	cōngming
迴	huí	revolve, rotate; curving, zigzag	迴響	huíxiǎng
競	jìng	contend, vie, compete	競爭 競賽 競選	jìngzhēng jìngsài jìngxuǎn
崇	chóng	esteem, honor, revere, venerate	崇拜 崇高 崇尚	chóngbài chónggāo chóngshàng
撞	zhuàng	knock against, bump into, collide		
厲	lì	whetstone; grind, sharpen; whet	厲害 嚴厲	lìhai yánlì
淨	jìng	pure, clean, unspoiled	乾淨 淨化	gānjìng jìnghuà
牽	qiān	drag, pull, lead by hand	牽連	qiānlián
惑	huò	confuse, mislead, baffle; doubt	迷惑 誘惑	míhuo yòuhuò
溪	xī	mountain stream, creek	溪流	xīliú
帽	mào	hat, cap; cap-like tops	帽子	màozi
眠	mián	close eyes, sleep; hibernate	失眠 催眠 睡眠	shīmián cuīmián shuìmián
溝	gōu	ditch, drain, narrow waterway	溝通 代溝	gōutōng dàigōu
俗	sú	social customs; vulgar, unrefined	風俗 俗話 俗話說	fēngsú súhuà súhuàshuō
宋	sòng	a dynasty; surname		
飄	piāo	whirlwind, cyclone; floating		
淺	qiǎn	shallow, not deep; superficial	深淺 膚淺 淺薄	shēnqiǎn fūqiǎn qiǎnbó
虐	nüè	cruel, harsh, oppressive	虐待	nüèdài
獻	xiàn	offer, present; show, display	貢獻 呈獻 奉獻	gòngxiàn chéngxiàn fèngxiàn
麥	mài	wheat, barley, oats; KangXi radical number 199	小麥 麥子	xiǎomài màizi
麵	miàn	flour, dough, noodles	麵包 麵條 麵粉	miànbāo miàntiáo miànfěn
艦	jiàn	warship	軍艦	jūnjiàn
滑	huá	slip, slide; slippery, polished	滑雪 光滑 下滑	huáxuě guānghuá xiàhuá
榜	bǎng	placard; list of successful exam candidates	榜樣	bǎngyàng
圈	quān	to circle; a circle; corral	圈子	quānzi
廷	tíng	court		
庭	tíng	courtyard; spacious hall or yard	家庭	jiātíng
縱	zòng	indulge in, give free reign to	操縱 縱火 縱容	cāozòng zònghuǒ zòngróng
閃	shǎn	flash; avoid, dodge, evade	閃電 閃爍 閃耀	shǎndiàn shǎnshuò shǎnyào
蓮	lián	lotus, water lily; paradise		
邦	bāng	nation, country, state		
耀	yào	shine, sparkle, dazzle; glory	誇耀 閃耀 照耀	kuāyào shǎnyào zhàoyào
旋	xuán	revolve, move in orbit; return	旋律 旋轉	xuánlǜ xuánzhuǎn
閱	yuè	examine, inspect, review, read	閱讀	yuèdú
諒	liàng	excuse, forgive; guess, presume	原諒 諒解 體諒	yuánliàng liàngjiě tǐliàng
紫	zǐ	purple, violet; amethyst; surname	紫外線	zǐwàixiàn
攝	shè	take in, absorb; act as deputy; administer, assist	攝影 拍攝 攝取	shèyǐng pāishè shèqǔ
儀	yí	ceremony, rites gifts; admire	儀器 儀式 儀表	yíqì yíshì yíbiǎo
妨	fáng	interfere with, impede, obstruct	不妨 妨礙	bùfáng fángài
審	shěn	examine, investigate; judge	審查 審核 審判	shěnchá shěnhé shěnpàn
描	miáo	copy, trace, sketch; depict	描寫 描繪 描述	miáoxiě miáohuì miáoshù
洽	qià	to blend with, be in harmony; to penetrate; to cover; a river in Shenxi	接洽 洽商 洽談	jiēqià qiàshāng qiàtán
毀	huǐ	destroy, ruin, injure; slander	摧毀 毀損	cuīhuǐ huǐsǔn
匆	cōng	hastily, in haste, hurriedly	匆忙	cōngmáng
逐	zhú	chase, expel; one by one	逐漸 放逐 逐步	zhújiàn fàngzhú zhúbù
陪	péi	accompany, be with, keep company	陪同 陪伴	péitóng péibàn
填	tián	fill in, fill up; make good		
踏	tà	step on, trample, tread on, walk	腳踏車 踏實	jiǎotàchē tāshi
跌	dié	stumble, slip, fall down; stamp	跌倒 下跌	diēdǎo xiàdiē
藤	téng	rattan, cane; creeper plant		
慕	mù	long for, desire; admire	羨慕 仰慕	xiànmù yǎngmù
勒	lēi	strangle, tighten	勒索	lèsuǒ
闆	bǎn	boss, the owner, person in charge	老闆 老闆娘	Lǎobǎn lǎobǎnniáng
殊	shū	different, special, unusual	特殊 懸殊	tèshū xuánshū
姊	zǐ	elder sister	姊姊 姊妹	zǐzǐ zǐmèi
馮	féng	surname; gallop; by dint of		
憑	píng	lean on, depend on, rely on	文憑	wénpíng
寞	mò	silent, still, lonely, solitary	寂寞	jìmò
岸	àn	bank, shore; beach, coast	對岸	duìàn
芬	fēn	fragrance, aroma; perfume		
鎮	zhèn	town, market place; suppress	鎮定 鎮壓 重鎮	zhèndìng zhènyā zhòngzhèn
池	chí	pool, pond; moat; cistern	電池 游泳池 池子	diànchí yóuyǒngchí chízi
拒	jù	ward off with hand, defend	拒絕	jùjué
葛	gé	edible bean; surname		
鋒	fēng	point of spear, sharp point	鋒面	fēngmiàn
兔	tù	rabbit, hare	兔子	tùzi
寬	kuān	broad, wide; spacious, vast	寬度 放寬 寬廣	kuāndù fàngkuān kuānguǎng
拳	quán	fist; various forms of boxing	拳頭 太極拳	quántou tàijíquán
函	hán	correspondence; a case; a box		
驅	qū	spur a horse on; expel, drive away	先驅	xiānqū
